name,abbreviation,statefp,latitude,longitude,num_tweet,avg_sentiment
Indiana,IN,18,+39.9030256,-086.2839503,15041,2.1449371717306030
Texas,TX,48,+31.4347032,-099.2818238,92394,2.1859428101391865
Virginia,VA,51,+37.5222512,-078.6681938,23242,2.1396609586094140
South Dakota,SD,46,+44.4467957,-100.2381762,1076,2.1505576208178439
Illinois,IL,17,+40.1028754,-089.1526108,34509,2.1540467704077197
Massachusetts,MA,25,+42.1565196,-071.4895915,24549,2.1301071326734287
Vermont,VT,50,+44.0604795,-072.6733274,2041,2.1107300342969133
Wisconsin,WI,55,+44.6309071,-089.7093916,14351,2.1068915058184099
North Dakota,ND,38,+47.4421698,-100.4608163,1359,2.0897718910963944
Florida,FL,12,+28.4574302,-082.4091478,72570,2.2418630287997795
Arizona,AZ,04,+34.2039355,-111.6063565,22896,2.1856219426974144
Arkansas,AR,05,+34.8955256,-092.4446262,6976,2.1313073394495413
New Jersey,NJ,34,+40.1072744,-074.6652012,27468,2.1386340468909276
Maine,ME,23,+45.4092789,-068.6665979,3324,2.0601684717208183
Connecticut,CT,09,+41.5797777,-072.7466665,10355,2.1041042974408498
Mississippi,MS,28,+32.6864714,-089.6561377,4440,2.0846846846846847
Michigan,MI,26,+44.8441757,-085.6604930,22286,2.1529211163959436
Tennessee,TN,47,+35.8585639,-086.3493573,17727,2.2362497884582840
Nevada,NV,32,+39.3310928,-116.6151469,14516,2.2485533204739598
Nebraska,NE,31,+41.5433014,-099.8118616,4950,2.1393939393939394
New Mexico,NM,35,+34.4346843,-106.1316181,4940,2.1574898785425101
Montana,MT,30,+47.0511771,-109.6348174,2884,2.0395284327323162
Oregon,OR,41,+43.9717125,-120.6229578,13991,2.1406618540490315
Louisiana,LA,22,+30.8634368,-091.7987173,12207,2.1871057589907430
Kansas,KS,20,+38.4985464,-098.3834298,6588,2.1396478445658774
Kentucky,KY,21,+37.5336844,-085.2929801,9983,2.1502554342382049
Washington,WA,53,+47.4073238,-120.5757999,20475,2.1210256410256410
New Hampshire,NH,33,+43.6726907,-071.5843145,3183,2.1420043983663211
Idaho,ID,16,+44.3484222,-114.5588538,2294,2.1525719267654752
Oklahoma,OK,40,+35.5900512,-097.4868149,9227,2.1268017773924352
North Carolina,NC,37,+35.5397100,-079.1308636,27392,2.2027599299065421
Colorado,CO,08,+38.9938482,-105.5083165,19051,2.1757388063618708
Maryland,MD,24,+38.9466584,-076.6744939,18717,2.1427579206069349
Alabama,AL,01,+32.7396323,-086.8434593,10678,2.1582693388274958
Iowa,IA,19,+42.0700243,-093.4933473,5773,2.1330330850510999
California,CA,06,+37.1551773,-119.5434183,145347,2.2120442802397022
South Carolina,SC,45,+33.8741769,-080.8542699,13158,2.2304301565587475
Utah,UT,49,+39.3349925,-111.6563326,6865,2.1648943918426803
District of Columbia,DC,11,+38.9041031,-077.0172290,10362,2.2227369233738660
Delaware,DE,10,+38.9985380,-075.4416616,1847,2.1353546291283162
New York,NY,36,+42.9133974,-075.5962723,80534,2.1977301512404699
Georgia,GA,13,+32.6295789,-083.4235109,28108,2.2298989611498506
Minnesota,MN,27,+46.3158148,-094.1996628,12587,2.1282275363470247
Rhode Island,RI,44,+41.5974187,-071.5272723,2930,2.1877133105802048
Missouri,MO,29,+38.3507500,-092.4567826,18220,2.1188803512623491
Wyoming,WY,56,+42.9918024,-107.5419255,879,2.0750853242320819
Ohio,OH,39,+40.4149297,-082.7119975,30936,2.1393198862167055
West Virginia,WV,54,+38.6472854,-080.6183274,3269,2.0905475680636280
Pennsylvania,PA,42,+40.9024957,-077.8334514,31505,2.2048563720044437
